discounted_price,full_price,name,name_kor,brand,ranking,photo,link
US$46.49,US$79.00,d'Alba White Truffle First Spray Serum 100mL Double Pack,,d'Alba,1,https://image.globaloliveyoungshop.com/prdtImg/1004/f9c5709b-ff4c-4aae-8cc5-f74c94abd84a.jpg?RS=810x810&AR=0&SF=webp&QT=80,/product/detail?prdtNo=GA221016470
US$31.86,US$44.00,MEDIHEAL Toner Pad 100+100 Pads Double Pack (7types),,MEDIHEAL,2,https://image.globaloliveyoungshop.com/prdtImg/1151/e1b5b157-44da-431a-8593-e84c30154e64.jpg?RS=810x810&AR=0&SF=webp&QT=80,/product/detail?prdtNo=GA220815950
,,rom&nd The Juicy Lasting Tint 3.5g,,rom&nd,3,https://image.globaloliveyoungshop.com/prdtImg/1577/8d2ae64a-d430-4fc2-9b79-0c7f5a836d15.jpg?RS=810x810&AR=0&SF=webp&QT=80,/product/detail?prdtNo=GA241126576
US$39.29,US$46.00,BIODANCE Bio Collagen Real Deep Mask Sheet 7ea Set (+Refreshing Sea Kelp Mask Sheet 1ea),,BIODANCE,4,https://image.globaloliveyoungshop.com/prdtImg/1224/5f1542d7-9936-408e-9f72-ce3a2595df7c.jpg?RS=810x810&AR=0&SF=webp&QT=80,/product/detail?prdtNo=GA250329266
US$36.00,US$48.00,Torriden Dive-In Serum 50ml Set (+Refill 50ml+Multi Pad 20P),,Torriden,5,https://image.globaloliveyoungshop.com/prdtImg/1104/ae064ccb-410a-4951-853d-ec741b639577.jpg?RS=810x810&AR=0&SF=webp&QT=80,/product/detail?prdtNo=GA250228409
US$39.73,US$56.00,UNOVE Deep Damage Treatment EX 320mL Double Pack,,UNOVE,6,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220916169
,,Torriden Dive In Low Molecular Hyaluronic Acid Mask Sheet 5+1ea,,Torriden,7,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220715440
US$32.62,US$61.00,medicube PDRN Pink Peptide Ampoule 30ml Double Pack,,medicube,8,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA241126704
US$36.57,US$50.00,WAKEMAKE Seamless Wear Foundation 30ml $17 Pale,,WAKEMAKE,9,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329508
US$35.20,US$44.00,JUNGSAEMMOOL Essential Skin Nuder Cushion,,JUNGSAEMMOOL,10,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA210002919
US$24.09,US$35.00,MEDIHEAL Toner Pad 100 Pads (7types Madecassoside Collagen etc),,MEDIHEAL,11,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220815951
US$35.20,US$44.00,AESTURA Atobarrier365 Cream 80mL Special Set (+Hydro Essence 25ml+Cera-Hyal  Ampoule 7ml),,AESTURA,12,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329238
US$32.17,US$35.00,beplain Mung Bean pH-Balancing Cleansing Foam 160ml+160ml,,beplain,13,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329175
US$35.73,US$48.00,WAKEMAKE Seamless Wear Cushion 15g #19 Porcelain Set (+Refill),,WAKEMAKE,14,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329507
US$46.90,US$67.00,d'Alba Waterfull Tone-Up Sun Cream Duo Set (50mL+50mL),,d'Alba,15,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220414400
US$305.67,US$322.00,medicube Age-R Booster Pro,,MEDICUBE AGE-R,16,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228875
US$21.78,US$48.00,Anua PDRN Hyaluronic Capsule 100 Serum 30ml Refill Set,,Anua,17,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250329148
US$23.49,US$32.00,VT Reedle Shot 100 Essence 50mL (+Reedle Shot 300 1ml*3ea),,VT,18,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA240523657
US$23.03,US$34.00,SUNGBOON EDITOR Green Tomato Pore Lifting Ampoule+ 30mL Double Pack,,SUNGBOON EDITOR,19,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA230719544
US$29.40,US$30.00,ROUND LAB Birch Juice Moisturizing Sunscreen 1+1 Set (+Camellia Sun Sachet+Lucky Charm),,ROUND LAB,20,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA250228491
US$9.60,US$12.00,peripera Ink Mood Glowy Tint (SET/SINGLE),,peripera,21,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA231121205
US$31.50,US$42.00,Dr.G Red Blemish Clear Soothing Cream Special Set (70mL+30mL),,Dr.G,22,https://dist.oliveyoung.com/fo/2d717a70ff/resources/images/common/load.png,/product/detail?prdtNo=GA220414206
